Comapany name,Year,Non-current asset,Current asset,Total Equity,Non-current liabilities,current liabilities,Revenue,Gross profit,Quick ratio,Profit Margin Ratio,Classifier,source
Unique Hotel & Resorts Ltd,2011,877819193,1337667813,20294154149,4675793920,22722308663,1844119030,367476310,0.05887024214,19.9269301,0,
Unique Hotel & Resorts Ltd,2012,672859486,1838831485,20832995018,7083882108,25405186155,2162762141,421175593,0.07238016182,19.47396734,0,
Unique Hotel & Resorts Ltd,2013,539560154,2273031502,20727648589,7815900125,25730957059,2070534358,403525375,0.08833839708,19.48894851,0,
Unique Hotel & Resorts Ltd,2014,416932110,1889442484,20754467131,7382773335,25830865872,2237050202,430598024,0.07314669564,19.24847389,0,
Unique Hotel & Resorts Ltd,2015,1407349575,2191222372,21197325784,8318410504,25917164341,2109863265,445006013,0.08454714965,21.09169918,0,
Unique Hotel & Resorts Ltd,2016-2017,1749753865,4257585930,22921157955,9234558192,26148376352,1826316418,407748259,0.1628241032,22.32626586,0,
Unique Hotel & Resorts Ltd,2017-2018,2110573761,3900816447,22751562317,9407342107,26147514216,2036049611,491201228,0.1491849824,24.1252092,0,
saiham taxtile mills ltd,2017,165982619,1742776194,1879452117,2466784623,2439477927,1529634985,1297995301,0.7144053958,84.85653857,0,
saiham taxtile mills ltd,2018,253136828,2268170584,1932223618,3032528541,2443444747,2178119707,1916381278,0.9282675971,87.98328539,0,
S. alam cold rolled,2012,223955171,9163627805,3342736548,8232869745,2056015486,918150749,729351575,4.456983844,79.43701792,1,
